Timestamp,ibi (ms)
11:17:43.032695,821.0
11:17:44.113970,789.0
11:17:45.074092,798.0
11:17:46.033941,792.0
11:17:46.188873,801.0
11:17:47.052654,807.0
11:17:48.073807,779.0
11:17:50.053262,829.0
11:17:51.132931,817.0
11:17:51.230530,1598.0
11:17:52.034067,818.0
11:17:53.053907,800.0
11:17:54.073511,800.0
11:17:54.170619,788.0
11:17:55.041769,766.0
11:17:56.059317,739.0
11:17:57.073911,753.0
11:17:58.092966,754.0
11:17:58.180404,789.0
11:17:59.052989,791.0
11:18:00.073408,827.0
11:18:01.033553,836.0
11:18:02.054332,818.0
11:18:02.143619,829.0
11:18:03.133897,859.0
11:18:04.034532,852.0
11:18:05.052787,861.0
11:18:06.073871,860.0
11:18:07.033751,835.0
11:18:08.266664,863.0
11:18:08.352228,888.0
11:18:09.253859,880.0
11:18:10.243463,811.0
11:18:11.233245,807.0
11:18:12.224374,806.0
11:18:12.316547,778.0
11:18:13.226500,792.0
11:18:14.203922,804.0
11:18:15.194178,813.0
11:18:16.184833,779.0
11:18:18.184443,510.0
11:18:18.274402,1131.0
11:18:18.275405,831.0
11:18:20.143945,798.0
11:18:20.143945,805.0
11:18:20.314561,787.0
11:18:21.133764,743.0
11:18:22.124175,764.0
11:18:23.113552,769.0
11:18:24.106236,796.0
11:18:24.194149,780.0
11:18:25.093774,793.0
11:18:26.083846,817.0
11:18:27.074230,795.0
11:18:27.172052,791.0
11:18:28.064168,786.0
11:18:28.152824,647.0
11:18:30.044325,902.0
11:18:31.034737,785.0
11:18:31.132500,785.0
11:18:32.024514,767.0
11:18:33.509007,770.0
11:18:34.499753,770.0
11:18:34.600947,768.0
11:18:35.488990,763.0
11:18:36.479116,756.0
11:18:37.469109,756.0
11:18:38.458950,772.0
11:18:38.549374,779.0
11:18:39.453253,785.0
11:18:40.440143,803.0
11:18:41.431175,789.0
11:18:42.419465,808.0
11:18:42.515183,813.0
11:18:43.409111,789.0
11:18:44.398962,790.0
11:18:45.389251,776.0
11:18:45.483362,770.0
11:18:46.379555,752.0
11:18:47.369834,768.0
11:18:48.360278,753.0
11:18:48.456380,740.0
11:18:49.349541,755.0
11:18:50.339318,771.0
11:18:51.329804,773.0
11:18:52.319429,804.0
11:18:52.474078,814.0
11:18:53.309366,791.0
